Abert's Towhee,ABTO,Melozone aberti,MELABE
Slaty Vireo,SLVI,Vireo brevipennis,VIRBRE
Slaty-backed Forest-Falcon,SBFF,Micrastur mirandollei,MICMIR
Slaty-backed Gull,SBGU,Larus schistisagus,LARSCH
Slaty-backed Nightingale-Thrush,SBNT,Catharus fuscater,CATFUT*
Slaty-breasted Tinamou,SBTI,Crypturellus boucardi,CRYBOU
Slaty-capped Flycatcher,SLCF*,Leptopogon superciliaris,LEPSUP
Slaty-tailed Trogon,STTR,Trogon massena,TROMAS
Slaty-winged Foliage-gleaner,SWFG,Philydor fuscipenne,PHIFUS
Slender Sheartail,SLSH,Doricha enicura,DORENI
Slender-billed Curlew,SBCU,Numenius tenuirostris,NUMTEN
Slender-billed Grackle,SBGR,Quiscalus palustris,QUIPAL
Slender-billed Kite,SBKI,Helicolestes hamatus,HELHAM
Small Canada Goose,SCGO,Branta c. parvipes,BRACPA
Smew,SMEW,Mergellus albellus,MERALB
Smith's Longspur,SMLO,Calcarius pictus,CALPIC
Smoky-brown Woodpecker,SMBW*,Picoides fumigatus,PICFUM
Smooth-billed Ani,SBAN,Crotophaga ani,CROANI
Snail Kite,SNKI,Rostrhamus sociabilis,ROSSOC
Snow Bunting,SNBU,Plectrophenax nivalis,PLENIV
Snow Goose,SNGO,Anser caerulescens,ANSCAE
Snow X Ross's Goose Hybrid,SRGH,Anser caerulescens x rossii,ANSCAR
Snowcap,SNOC*,Microchera albocoronata,MICALB
Snowy Cotinga,SNCO,Carpodectes nitidus,CARNIT
Snowy Egret,SNEG,Egretta thula,EGRTHU
Snowy Owl,SNOW,Bubo scandiacus,BUBSCA
Snowy Plover,SNPL,Charadrius nivosus,CHANIV
Snowy-bellied Hummingbird,SBEH*,Amazilia edward,AMAEDW
Social Flycatcher,SOFL,Myiozetetes similis,MYISIM
Socorro Dove,SODO,Zenaida graysoni,ZENGRA
Socorro Mockingbird,SOMO,Mimus graysoni,MIMGRA
Socorro Wren,SOCW*,Troglodytes sissonii,TROSIS
Solitary Eagle,SOEA,Buteogallus solitarius,BUGSOL*
Solitary Sandpiper,SOSA,Tringa solitaria,TRISOL
Solitary Snipe,SOSN,Gallinago solitaria,GALSOL
Solitary Vireo,SOVI,Vireo (sp),VIRSPE
Song Sparrow,SOSP,Melospiza melodia,MELMEL
Song Thrush,SOTH*,Turdus philomelos,TURPHI
Song Wren,SONW*,Cyphorhinus phaeocephalus,CYPPHA
Sooty Grouse,SOGR,Dendragapus fuliginosus,DENFUU*
Sooty Shearwater,SOSH,Ardenna grisea,ARDGRI
Sooty Tern,SOTE,Onychoprion fuscatus,ONYFUS
Sooty Thrush,SOOT*,Turdus nigrescens,TURNIG
Sooty-capped Chlorospingus,SCCH,Chlorospingus pileatus,CHLPIL
Sooty-faced Finch,SFFI,Arremon crassirostris,ARRCRA
Sooty-headed Tyrannulet,SHTY,Phyllomyias griseiceps,PHYGRI
Sooty-headed Wren,SHWR,Pheugopedius spadix,PHESPA
Sora,SORA,Porzana carolina,PORCAR
South Polar Skua,SPSK,Stercorarius maccormicki,STEMAC
Southern Beardless-Tyrannulet,SOBT,Camptostoma obsoletum,CAMOBS
Southern Bentbill,SOBE,Oncostoma olivaceum,ONCOLI
Southern House-Wren,SOHW,Troglodytes a. musculus,TROAMU
Southern Lapwing,SOLA,Vanellus chilensis,VANCHI
Southern Martin,SOMA,Progne elegans,PROELE
Southern Rough-winged Swallow,SRWS,Stelgidopteryx ruficollis,STERUF
Southwestern Willow Flycatcher,SWFL,Empidonax t. extimus,EMPTEX
Spangle-cheeked Tanager,SCHT*,Tangara dowii,TANDOW
Sparkling-tailed Hummingbird,SKTH*,Tilmatura dupontii,TILDUP
Speckled Mourner,SPMO,Laniocera rufescens,LANRUF
Speckled Tanager,SPTA,Tangara guttata,TANGUT
Spectacled Eider,SPEI,Somateria fischeri,SOMFIS
Spectacled Owl,SPEO*,Pulsatrix perspicillata,PULPER
Spectacled Parrotlet,SPPA,Forpus conspicillatus,FORCON
Spectacled Thrush,SPTH,Turdus nudigenis,TURNUD
Spiny-faced Antshrike,SFAN,Xenornis setifrons,XENSET
Spoon-billed Sandpiper,SBSA,Calidris pygmea,CALPYG
Spot-breasted Oriole,SBOR,Icterus pectoralis,ICTPEC
Spot-breasted Woodpecker,SBWP*,Colaptes punctigula,COLPUN
Spot-breasted Wren,SBSW*,Pheugopedius maculipectus,PHEMAC
Spot-crowned Antvireo,SPCA*,Dysithamnus puncticeps,DYSPUN
Spot-crowned Barbet,SCBA,Capito maculicoronatus,CAPMAC
Spot-crowned Euphonia,SPCE*,Euphonia imitans,EUPIMI
Spot-crowned Woodcreeper,SCRW*,Lepidocolaptes affinis,LEPAFF
Spot-fronted Swift,SFSW,Cypseloides cherriei,CYPCHE
Spot-tailed Nightjar,SPTN*,Hydropsalis maculicaudus,HYDMAC
Spotted Antbird,SPAN,Hylophylax naevioides,HYLNAE
Spotted Barbtail,SPBA,Premnoplex brunnescens,PREBRU
Spotted Crake,SPCR,Porzana porzana,PORPOZ*
Spotted Dove,SPDO,Streptopelia chinensis,STRCHI
Spotted Flycatcher,SPFL,Muscicapa striata,MUSSTR
Spotted Nightingale-Thrush,SPNT,Catharus dryas,CATDRY
Spotted Owl,SPOW,Strix occidentalis,STROCC
Spotted Rail,SPRA,Pardirallus maculatus,PARMAS*
Spotted Redshank,SPRE,Tringa erythropus,TRIERY
Spotted Sandpiper,SPSA,Actitis macularius,ACTMAC
Spotted Towhee,SPTO,Pipilo maculatus,PIPMAC
Spotted Woodcreeper,SPWO,Xiphorhynchus erythropygius,XIPERY
Spotted Wood-Quail,SPWQ,Odontophorus guttatus,ODOGUT
Spotted Wren,SPWR,Campylorhynchus gularis,CAMGUL
Spotted x Barred Owl Hybrid,SBOH,Strix occiden. x varia,STROCV
Sprague's Pipit,SPPI,Anthus spragueii,ANTSPR
Spruce Grouse,SPGR,Falcipennis canadensis,FALCAN
Squirrel Cuckoo,SQCU,Piaya cayana,PIACAY
St. Lucia Black Finch,SLBF,Melanospiza richardsoni,MELRIC
St. Lucia Oriole,SLOR,Icterus laudabilis,ICTLAU
St. Lucia Parrot,SLPA,Amazona versicolor,AMAVER
St. Lucia Warbler,SLWA,Setophaga delicata,SETDEL
St. Vincent Parrot,SVPA,Amazona guildingii,AMAGUI
Steely-vented Hummingbird,SVHU,Amazilia saucerottei,AMASAU
Stejneger's Petrel,STPE,Pterodroma longirostris,PTELON
Steller's Eider,STEI,Polysticta stelleri,POLSTE
Steller's Jay,STJA,Cyanocitta stelleri,CYASTE
Steller's Sea-Eagle,STSE,Haliaeetus pelagicus,HALPEL
Stilt Sandpiper,STSA,Calidris himantopus,CALHIM
Stolid Flycatcher,STOF*,Myiarchus stolidus,MYISTO
Stonechat,STON,Saxicola torquatus,SAXTOR
Straight-billed Woodcreeper,SGBW*,Dendroplex picus,DENPIS*
Streak-backed Oriole,SBAO*,Icterus pustulatus,ICTPUS
Streak-breasted Treehunter,SBTR,Thripadectes rufobrunneus,THRRUB*
Streak-chested Antpitta,SCHA*,Hylopezus perspicillatus,HYLPER
Streak-crowned Antvireo,STCA*,Dysithamnus striaticeps,DYSSTR
Streaked Flycatcher,STRF*,Myiodynastes maculatus,MYIMAC
Streaked Saltator,SSAL*,Saltator striatipectus,SALSTR
Streaked Shearwater,STRS*,Calonectris leucomelas,CALLEU
Streaked Xenops,STXE,Xenops rutilans,XENRUT
Streak-headed Woodcreeper,SHWO,Lepidocolaptes souleyetii,LEPSOU
Streamertail,STRM*,Trochilus polytmus,TROPOL
Striated Heron,STRH*,Butorides striata,BUTSTR
Strickland's Woodpecker,STCW*,Picoides stricklandi,PICSTR
Stripe-breasted Wren,SIBW*,Cantorchilus thoracicus,CANTHO
Stripe-cheeked Woodpecker,SCHW*,Piculus callopterus,PICCAL
Striped Cuckoo,STCU,Tapera naevia,TAPNAE
Striped Owl,STRO*,Pseudoscops clamator,PSECLA
Striped Sparrow,SSPA*,Oriturus superciliosus,ORISUP
Striped Woodhaunter,STPW*,Automolus subulatus,AUTSUB
Stripe-headed Sparrow,SHSP,Peucaea ruficauda,PEURUF
Stripe-tailed Hummingbird,STHM*,Eupherusa eximia,EUPEXI
Stripe-throated Hermit,STHR*,Phaethornis striigularis,PHASTR
Stripe-throated Wren,STWR,Cantorchilus leucopogon,CANLEP*
Strong-billed Woodcreeper,SNBW*,Xiphocolaptes promeropirhynchus,XIPPRO
Stub-tailed Spadebill,STTS*,Platyrinchus cancrominus,PLACAN
Stygian Owl,STOW,Asio stygius,ASISTY
Sulphur-bellied Flycatcher,SBFL,Myiodynastes luteiventris,MYILUT
Sulphur-rumped Flycatcher,SRFL,Myiobius sulphureipygius,MYISUL
Sulphur-rumped Tanager,SRTA,Heterospingus rubrifrons,HETRUB
Sulphur-winged Parakeet,SWPA,Pyrrhura hoffmanni,PYRHOF
Sumichrast's Wren,SUWR,Hylorchilus sumichrasti,HYLSUM
Summer Tanager,SUTA,Piranga rubra,PIRRUB
Sunbittern,SUNB,Eurypyga helias,EURHEL
Sungrebe,SUNG,Heliornis fulica,HELFUL
Surf Scoter,SUSC,Melanitta perspicillata,MELPER
Surfbird,SURF,Calidris virgata,CALVIR
Sutton's Warbler,SUWA,Setophaga americana x dominica,SETAMD
Swainson's Hawk,SWHA,Buteo swainsoni,BUTSWA
Swainson's Thrush,SWTH,Catharus ustulatus,CATUST
Swainson's Warbler,SWWA,Limnothlypis swainsonii,LIMSWA
Swallow Tanager,SWTA,Tersina viridis,TERVIR
Swallow-tailed Gull,STGU,Creagrus furcatus,CREFUR
Swallow-tailed Kite,STKI,Elanoides forficatus,ELAFOR
Swamp Sparrow,SWSP,Melospiza georgiana,MELGEO
Swinhoe's Storm-Petrel,SSTP*,Oceanodroma monorhis,OCEMON
Tacarcuna Chlorospingus,TACH,Chlorospingus tacarcunae,CHLTAC
Tacarcuna Tapaculo,TATA,Scytalopus panamensis,SCYPAN
Tacarcuna Warbler,TAWA,Basileuterus tacarcunae,BASTAC
Tacarcuna Wood-Quail,TAWQ,Odontophorus dialeucos,ODODIA
Tahiti Petrel,TAPE,Pterodroma rostrata,PTEROS
Taiga Bean-Goose,TABG,Anser fabalis,ANSFAB
Taiga Flycatcher,TAFL,Ficedula albicilla,FICALB
Talamanca Hummingbird,TAHU,Eugenes spectabilis,EUGSPE
Tamaulipas Crow,TACR,Corvus imparatus,CORIMP
Tamaulipas Pygmy-Owl,TAPO,Glaucidium sanchezi,GLASAN
Tawny-breasted Flycatcher,TBFL,Myiobius villosus,MYIVIL
Tawny-capped Euphonia,TCEU,Euphonia anneae,EUPANN
Tawny-chested Flycatcher,TCFL,Aphanotriccus capitalis,APHCAP
Tawny-collared Nightjar,TCNI,Antrostomus salvini,ANTSAL
Tawny-crested Tanager,TCTA,Tachyphonus delatrii,TACDEL
Tawny-crowned Greenlet,TCGR,Tunchiornis ochraceiceps,TUNOCH
Tawny-faced Gnatwren,TFGN,Microbates cinereiventris,MICCIN
Tawny-faced Quail,TFQU,Rhynchortyx cinctus,RHYCIN
Tawny-shouldered Blackbird,TSBL,Agelaius humeralis,AGEHUM
Tawny-throated Leaftosser,TTLE,Sclerurus mexicanus,SCLMEX
Tawny-winged Woodcreeper,TWWO,Dendrocincla anabatina,DENANA
Temminck's Stint,TEST,Calidris temminckii,CALTEM
Tennessee Warbler,TEWA,Oreothlypis peregrina,OREPER
Terek Sandpiper,TESA,Xenus cinereus,XENCIN
Thayer's Gull,THGU,Larus gaucoides thayeri,LARGTH
Thick-billed Euphonia,TBEU,Euphonia laniirostris,EUPLAN
Thick-billed Kingbird,TBKI,Tyrannus crassirostris,TYRCRA
Thick-billed Murre,TBMU,Uria lomvia,URILOM
Thick-billed Parrot,TBPA,Rhynchopsitta pachyrhyncha,RHYPAC
Thick-billed Seed-Finch,TBSF,Sporophila funerea,SPOFUN
Thick-billed Vireo,TBVI,Vireo crassirostris,VIRCRA
Thicket Antpitta,THAN,Hylopezus dives,HYLDIV
Thicket Tinamou,THTI,Crypturellus cinnamomeus,CRYCIN
Three-wattled Bellbird,TWBE,Procnias tricarunculatus,PROTRI
Timberline Wren,TIWR,Thryorchilus browni,THRBRO
Tiny Hawk,TIHA,Accipiter superciliosus,ACCSUP
Tody Motmot,TOMO,Hylomanes momotula,HYLMOM
Tooth-billed Hummingbird,TBHU,Androdon aequatorialis,ANDAEQ
Torrent Tyrannulet,TOTY,Serpophaga cinerea,SERCIN
Townsend's Shearwater,TOSH,Puffinus auricularis,PUFAUR
Townsend's Solitaire,TOSO,Myadestes townsendi,MYATOW
Townsend's Storm-Petrel,TOSP,Oceanodroma socorroensis,OCESOC
Townsend's Warbler,TOWA,Setophaga townsendi,SETTOW
Townsend's x Hermit Warbler Hybrid,THWH,Setophaga townsendi x occidentalis,SETTOO
Traill's Flycatcher,TRFL,Empidonax alnorum/traillii,EMPALT
Transvolcanic Jay,TRJA,Aphelocoma ultramarina,APHULT
Tree Pipit,TRPI,Anthus trivialis,ANTTRI
Tree Swallow,TRES*,Tachycineta bicolor,TACBIC
Tricolored Blackbird,TRBL,Agelaius tricolor,AGETRI
Tricolored Heron,TRHE,Egretta tricolor,EGRTRI
Tricolored Munia,TRMU,Lonchura malacca,LONMAL
Trindade Petrel,TRPE,Pterodroma arminjoniana,PTEARM
Tristram's Storm-Petrel,TRSP,Oceanodroma tristrami,OCETRI
Tropical Gnatcatcher,TRGN,Polioptila plumbea,POLPLU
Tropical Kingbird,TRKI,Tyrannus melancholicus,TYRMEL
Tropical Mockingbird,TRMO,Mimus gilvus,MIMGIL
Tropical Parula,TRPA,Setophaga pitiayumi,SETPIM*
Tropical Pewee,TROP*,Contopus cinereus,CONCIN
Tropical Screech-Owl,TRSO,Megascops choliba,MEGCHO
Trumpeter Swan,TRUS*,Cygnus buccinator,CYGBUC
Tufted Duck,TUDU,Aythya fuligula,AYTFUL
Tufted Flycatcher,TUFL,Mitrephanes phaeocercus,MITPHA
Tufted Jay,TUJA,Cyanocorax dickeyi,CYADIC
Tufted Puffin,TUPU,Fratercula cirrhata,FRACIR
Tufted Titmouse,TUTI,Baeolophus bicolor,BAEBIC
Tundra Bean-Goose,TUBG,Anser serrirostris,ANSSER
Tundra Swan,TUSW,Cygnus columbianus,CYGCOL
Turkey Vulture,TUVU,Cathartes aura,CAEAUR*
Turquoise Cotinga,TUCO,Cotinga ridgwayi,COTRID
Turquoise-browed Motmot,TBMO,Eumomota superciliosa,EUMSUP
Tuxtla Quail-Dove,TUQD,Zentrygon carrikeri,ZENCAR
Ula-ai-hawane,UAIH*,Ciridops anna,CIRANN
Unicolored Jay,UNJA,Aphelocoma unicolor,APHUNI
Unidentified Accipiter Hawk,UAHA,Accipiter (sp),ACCSPE
Unidentified Bird,UNBI,"Aves (gen, sp)",AVEGSP
Unidentified Blackbird,UNBL,"Icteridae (gen, sp)",ICTGSP
Unidentified Crow,UNCR,Corvus (sp),CORSPE
Unidentified Dowitcher,UNDO,Limnodromus sp.,LIMSPE
Unidentified Duck,UNDU,"Anatinae (gen, sp)",ANAGSP
Unidentified Empidonax Flycatcher,UEFL,Empidonax (sp),EMPSPE
Unidentified Flycatcher,UNFL,"Tyrannidae (gen, sp)",TYRGEN
Unidentified HaemorhousFinch,UHFI,Haemorhous (sp),HAESPE
Unidentified Hawk,UNHA,"Accipitridae (gen, sp)",ACCGSP
Unidentified Hummingbird,UNHU,"Trochilidae (gen, sp)",TRCGSP*
Unidentified Larus Gull,UNLG,Larus (sp),LARSPE
Unidentified Owl,UNOW,"Strigidae (gen, sp)",STRGSP
Unidentified Piranga Tanager,UPTA,Piranga (sp),PIRSPE
Unidentified Poecile Chickadee,UPCH,Poecile (sp),POESPE
Unidentified Sapsucker,UNSA,Sphyrapicus (sp),SPHSPE
Unidentified Selasphorus Hummingbird,USHU,Selaphorus (sp),SELSPS*
Unidentified Sparrow,UNSP,"Passerellidae (gen, sp)",PASGSP
Unidentified Swallow,UNSW,"Hirundidae (gen, sp)",HIRGSP
Unidentified Teal,UNTE,Anas (sp),ANASPE
Unidentified Thrush,UNTH,"Turdidae (gen, sp)",TURGSP
Unidentified Warbler,UNWA,"Parulidae (gen, sp)",PARGSP
Unidentified Woodpecker,UNWO,"Picinae (gen, sp)",PICGSP
Unidentified Wren,UNWR,"Troglodytidae (gen, sp)",TRGGSP*
Uniform Crake,UNIC*,Amaurolimnas concolor,AMLCON*
Unspotted Saw-whet Owl,USWO,Aegolius ridgwayi,AEGRID
Upland Sandpiper,UPSA,Bartramia longicauda,BARLON
Variable Seedeater,VASE,Sporophila corvina,SPOCOR
Varied Bunting,VABU,Passerina versicolor,PASVER
Varied Solitaire,VASO,Myadestes coloratus,MYACOL
Varied Thrush,VATH,Ixoreus naevius,IXONAE
Variegated Flycatcher,VAFL,Empidonomus varius,EMPVAR
Vaux's Swift,VASW,Chaetura vauxi,CHAVAU
Veery,VEER,Catharus fuscescens,CATFUN*
Venezuelan Troupial,VETR,Icterus icterus,ICTICT
Veraguan Mango,VEMA,Anthracothorax veraguensis,ANTVER
Verdin,VERD,Auriparus flaviceps,AURFLA
Vermiculated Screech-Owl,VESO,Megascops guatemalae,MEGGUA
Vermilion Flycatcher,VEFL,Pyrocephalus rubinus,PYRRUB
Vervain Hummingbird,VEHU,Mellisuga minima,MELMIN
Vesper Sparrow,VESP,Pooecetes gramineus,POOGRA
Village Weaver,VIWE,Ploceus cucullatus,PLOCUC
Violaceous Quail-Dove,VIQD,Geotrygon violacea,GEOVIO
Violet Sabrewing,VISA,Campylopterus hemileucurus,CAMHEM
Violet-bellied Hummingbird,VBHU,Juliamyia julie,JULJUL
Violet-capped Hummingbird,VCAH*,Goldmania violiceps,GOLVIO
Violet-crowned Hummingbird,VCHU,Amazilia violiceps,AMAVIO
Violet-green Swallow,VGSW,Tachycineta thalassina,TACTHA
Violet-headed Hummingbird,VHHU,Klais guimeti,KLAGUI
Virginia Rail,VIRA,Rallus limicola,RALLIM
Virginia's Warbler,VIWA,Oreothlypis virginiae,OREVIR
Viridian Dacnis,VIDA,Dacnis viguieri,DACVIG
Vitelline Warbler,VITW*,Setophaga vitellina,SETVIT
Volcano Hummingbird,VOHU,Selasphorus flammula,SELFLA
Volcano Junco,VOJU,Junco vulcani,JUNVUL
Wandering Albatross,WAAL*,Diomedea exulans,DIOEXU
Wandering Tattler,WATA,Tringa incana,TRIINC
Warbling Vireo,WAVI,Vireo gilvus,VIRGIL
Wattled Jacana,WAJA,Jacana jacana,JACJAC
Waved Albatross,WAVA*,Phoebastria irrorata,PHOIRR
Wedge-billed Woodcreeper,WBWO,Glyphorynchus spirurus,GLYSPI
Wedge-rumped Storm-Petrel,WRSP,Oceanodroma tethys,OCETET
Wedge-tailed Grass-Finch,WTGF,Emberizoides herbicola,EMBHER
Wedge-tailed Sabrewing,WTSA,Campylopterus curvipennis,CAMCUR
Wedge-tailed Shearwater,WTSH,Ardenna pacifica,ARDPAC
West Indian Whistling-Duck,WIWD,Dendrocygna arborea,DENARB
West Indian Woodpecker,WIWO,Melanerpes superciliaris,MELSUP
West Mexican Chachalaca,WMCH,Ortalis poliocephala,ORTPOL
Western Bluebird,WEBL,Sialia mexicana,SIAMEX
Western Chat-Tanager,WECT,Calyptophilus tertius,CALTER
Western Flycatcher,WEFL,Empidonax difficilis/occid.,EMPDIO
Western Grebe,WEGR,Aechmophorus occidentalis,AECOCC
Western Gull,WEGU,Larus occidentalis,LAROCC
Western Kingbird,WEKI,Tyrannus verticalis,TYRVER
Western Marsh Harrier,WMHA,Circus aeruginosus,CIRAER
Western Meadowlark,WEME,Sturnella neglecta,STUNEG
Western Palm Warbler,WPWA,Setophaga palmarum palmarum,SETPPA
Western Reef-Heron,WERH,Egretta gularis,EGRGUL
Western Sandpiper,WESA,Calidris mauri,CALMAU
Western Screech-Owl,WESO,Megascops kennicottii,MEGKEN
Western Spindalis,WESP,Spindalis zena,SPIZEN
Western Tanager,WETA,Piranga ludoviciana,PIRLUD
Western Water-Rail,WEWR,Rallus aquaticus,RALAQU
Western Wood-Pewee,WEWP,Contopus sordidulus,CONSOR
Western X Glaucous-winged Gull Hybrid,WGWH,Larus occid. x glauces.,LAROCG
Western X Mountain Bluebird Hybrid,WMBH,Sialia mex. x currucoid.,SIAMEC
Whimbrel,WHIM,Numenius phaeopus,NUMPHA
Whiskered Auklet,WHAU,Aethia pygmaea,AETPYG
Whiskered Screech-Owl,WHSO,Megascops trichopsis,MEGTRI
Whiskered Tern,WHST*,Chlidonias hybrida,CHLHYB
Whistling Heron,WHHE,Syrigma sibilatrix,SYRSIB
Whistling Swan,WHSW,Cygnus c. columbianus,CYGCCO
Whistling Warbler,WHIW*,Catharopeza bishopi,CATBIS
White Hawk,WHHA,Pseudastur albicollis,PSEALB
White Ibis,WHIB,Eudocimus albus,EUDALB
White Tern,WHTT*,Gygis alba,GYGALB
White Wagtail,WHWA,Motacilla alba,MOTALB
White-bellied Antbird,WBEA*,Myrmeciza longipes,MYRLON
White-bellied Chachalaca,WBCH,Ortalis leucogastra,ORTLEU
White-bellied Emerald,WBEM,Amazilia candida,AMACAN
White-bellied Mountain-gem,WBMG,Lampornis hemileucus,LAMHEM
White-bellied Wren,WBWR,Uropsila leucogastra,UROLEU
White-breasted Nuthatch,WBNU,Sitta carolinensis,SITCAR
White-breasted Thrasher,WBTH,Ramphocinclus brachyurus,RAMBRA
White-breasted Wood-Wren,WBWW,Henicorhina leucosticta,HENLES*
White-capped Albatross,WCAL,Thalassarche cauta,THACAU
White-cheeked Pintail,WCHP*,Anas bahamensis,ANABAH
White-chinned Petrel,WCPE,Procellaria aequinoctialis,PROAEQ
White-chinned Swift,WCHS*,Cypseloides cryptus,CYPCRY
White-chinned Thrush,WCTH,Turdus aurantius,TURAUR
White-collared Manakin,WCOM*,Manacus candei,MANCAN
White-collared Seedeater,WCSE,Sporophila torqueola,SPOTOR
White-collared Swift,WCSW,Streptoprocne zonaris,STRZON
White-cr. X Golden-cr. Sparrow Hybrid,WGSH,Zonotrichia leuc. x atricap.,ZONLEA
White-crested Coquette,WCCO,Lophornis adorabilis,LOPADO
White-crested Elaenia,WCEL,Elaenia albiceps,ELAALB
White-crowned Manakin,WCRM*,Dixiphia pipra,DIXPIP
White-crowned Parrot,WCPA,Pionus senilis,PIOSEN
White-crowned Pigeon,WCPI,Patagioenas leucocephala,PATLEU
White-crowned Sparrow,WCSP,Zonotrichia leucophrys,ZONLEU
White-eared Conebill,WECO,Conirostrum leucogenys,CONLEU
White-eared Ground-Sparrow,WEGS,Melozone leucotis,MELLEU
White-eared Hummingbird,WEHU,Hylocharis leucotis,HYLLEU
White-eyed Thrush,WETH,Turdus jamaicensis,TURJAM
White-eyed Vireo,WEVI,Vireo griseus,VIRGRI
White-faced Ground-Sparrow,WFGS,Melozone biarcuata,MELBIA
White-faced Ibis,WFIB,Plegadis chihi,PLECHI
White-faced Quail-Dove,WFAQ*,Zentrygon albifacies,ZENALB
White-faced Storm-Petrel,WFSP,Pelagodroma marina,PELMAR
White-faced Whistling-Duck,WFWD,Dendrocygna viduata,DENVID
White-flanked Antwren,WFLA*,Myrmotherula axillaris,MYRAXI
White-fringed Antwren,WFRA*,Formicivora grisea,FORGRI
White-fronted Nunbird,WFNU,Monasa morphoeus,MONMOR
White-fronted Parrot,WFPA,Amazona albifrons,AMAALB
White-fronted Quail-Dove,WFRQ*,Geotrygon leucometopia,GEOLEU
White-fronted Swift,WFSW,Cypseloides storeri,CYPSTO
White-headed Woodpecker,WHWO,Picoides albolarvatus,PICALB
White-headed Wren,WHWR,Campylorhynchus albobrunneus,CAMALB
White-lined Tanager,WLTA,Tachyphonus rufus,TACRUF
White-lored Gnatcatcher,WLGN,Polioptila albiloris,POLALB
White-naped Brushfinch,WNBR,Atlapetes albinucha,ATLALB
White-naped Swift,WNSW,Streptoprocne semicollaris,STRSEM
White-necked Crow,WNCR,Corvus leucognaphalus,CORLEU
White-necked Jacobin,WNJA,Florisuga mellivora,FLOMEL
White-necked Petrel,WNPE,Pterodroma cervicalis,PTECER
White-necked Puffbird,WNPU,Notharchus hyperrhynchus,NOTHYP
White-ringed Flycatcher,WRFL,Conopias albovittatus,CONALB
White-ruffed Manakin,WRMA,Corapipo altera,CORALT
White-rumped Sandpiper,WRSA,Calidris fuscicollis,CALFUS
White-rumped Shama,WRSH,Copsychus malabaricus,COPMAL
White's Thrush,WHTH,Zoothera aurea,ZOOAUR
White-shouldered Tanager,WSTA,Tachyphonus luctuosus,TACLUC
White-striped Woodcreeper,WSWO,Lepidocolaptes leucogaster,LEPLEU
White-tailed Eagle,WTEA,Haliaeetus albicilla,HALALB
White-tailed Emerald,WTEM,Elvira chionura,ELVCHI
White-tailed Hawk,WTHA,Geranoaetus albicaudatus,GERALB
White-tailed Hummingbird,WTAH*,Eupherusa poliocerca,EUPPOL
White-tailed Kite,WTKI,Elanus leucurus,ELALEU
White-tailed Nightjar,WTNI,Hydropsalis cayennensis,HYDCAY
White-tailed Ptarmigan,WTPT,Lagopus leucura,LAGLEU
White-tailed Trogon,WTAT*,Trogon chionurus,TROCHI
White-tailed Tropicbird,WTTR,Phaethon lepturus,PHALEP
White-thighed Swallow,WTGS*,Atticora tibialis,ATTTIB
White-throated Crake,WTCR,Laterallus albigularis,LATALB
White-throated Flycatcher,WTFL,Empidonax albigularis,EMPALB
White-throated Jay,WTJA,Cyanolyca mirabilis,CYAMIR
White-throated Magpie-Jay,WTMJ,Calocitta formosa,CALFOR
White-throated Mountain-gem,WTMG,Lampornis castaneoventris,LAMCAS
White-throated Needletail,WTNE,Hirundapus caudacutus,HIRCAU
White-throated Shrike-Tanager,WTST,Lanio leucothorax,LANLEU
White-throated Spadebill,WTRS*,Platyrinchus mystaceus,PLAMYS
White-throated Sparrow,WTSP,Zonotrichia albicollis,ZONALB
White-throated Swift,WTSW,Aeronautes saxatalis,AERSAX
White-throated Thrush,WTTH,Turdus assimilis,TURASS
White-throated Towhee,WTTO,Melozone albicollis,MELALB
White-tipped Dove,WTDO,Leptotila verreauxi,LEPVEX*
White-tipped Sicklebill,WTSI,Eutoxeres aquila,EUTAQU
White-vented Euphonia,WVEU,Euphonia minuta,EUPMIN
White-vented Plumeleteer,WVPL,Chalybura buffonii,CHABUF
White-whiskered Puffbird,WWPU,Malacoptila panamensis,MALPAN
White-winged Becard,WWBE,Pachyramphus polychopterus,PACPOL
White-winged Crossbill,WWCR,Loxia leucoptera,LOXLEU
White-winged Dove,WWDO,Zenaida asiatica,ZENASI
White-winged Junco,WWJU,Junco h. aikeni,JUNHAI
White-winged Parakeet,WWPA,Brotogeris versicolurus,BROVER
White-winged Scoter,WWSC,Melanitta fusca,MENFUS*
White-winged Tanager,WWTA,Piranga leucoptera,PIRLEU
White-winged Tern,WWTE,Chlidonias leucopterus,CHLLEU
White-winged Warbler,WWWA,Xenoligea montana,XENMON
Whooper Swan,WHOS*,Cygnus cygnus,CYGCYG
Whooping Crane,WHCR,Grus americana,GRUAME
Whooping Motmot,WHMO,Momotus subrufescens,MOMSUB
Wild Turkey,WITU,Meleagris gallopavo,MELGAL
Willet,WILL,Tringa semipalmata,TRISEM
Williamson's Sapsucker,WISA,Sphyrapicus thyroideus,SPHTHY
Willow Flycatcher,WIFL,Empidonax traillii,EMPTRA
Willow Ptarmigan,WIPT,Lagopus lagopus,LAGLAG
Willow Warbler,WILW*,Phylloscopus trochilus,PHYTRO
Wilson's Phalarope,WIPH,Phalaropus tricolor,PHATRI
Wilson's Plover,WIPL,Charadrius wilsonia,CHAWIL
Wilson's Snipe,WISN,Gallinago delicata,GALDEL
Wilson's Storm-Petrel,WISP,Oceanites oceanicus,OCEOCE
